retire Remove
la the
tapa top
de from
batería	battery
localice Locate 
ranura groove
para for
tarjetas cards
microSD microSD
ubicada located
en in
el he
interior inside
del of
dispositivo device
conecte connect
cable cable
usb USB
a to
unidad unity
cargadora loader
localice locate
tapa top
del of
conector connector
para for
cargador/accesorios charger/accessories
inserte insert
extraiga remove
tarjeta card
ranura groove
compruebe check
los the
servicios services
ejecución execution
y y
cierre closing
cualquier any 
aplicación application 
innecesaria unnecessary
apague Turn-off
servicio service
transmisión transmission
continua keep-going 
después after
uso use
en in
forma shape 
predeterminada default
pantalla screen 
dispositivo device
se he 
bloquea blocks
cuando when
apaga turns-off 
luz light
fondo background
Pulse press 
entrada entry
una a 
notificación notification 
abrir open
asociada associate
los the 
siguientes following 
términos terms 
describen describe 
las the 
acciones Actions 
con with 
botones buttons 
teclas keys
físicas physical 
más plus 
comunes common
arrastre Drag
widget widget 
hasta until 
deseada desired 
nueva new 
complete complete
su his 
llamada call
durante during 
ese that 
tipo kind 
acceso access
al to
modo mode 
altoparlante loudspeaker
teclado keyboard
funciones functions 
finalizar Finalize
llamadas calls
ahora now
puede can 
añadir Add 
información information 
los the 
contactos contacts 
cuenta account  
facebook facebook 
como as 
contacto contact
fotos photos
correo mail 
electrónico electronic 
números numbers 
telefónicos telephone  
directamente directly 
a a  
lista list 
toda All 
actual current 
transferirá will-transfer 
teléfono phone 
